code,sector
AADI,Energy
ABMM,Energy
ADMR,Energy
ADRO,Energy
AIMS,Energy
AKRA,Energy
ALII,Energy
APEX,Energy
ARII,Energy
ARTI,Energy
ATLA,Energy
BBRM,Energy
BESS,Energy
BIPI,Energy
BOAT,Energy
BOSS,Energy
BSML,Energy
BSSR,Energy
BULL,Energy
BUMI,Energy
BYAN,Energy
CANI,Energy
CBRE,Energy
CGAS,Energy
CNKO,Energy
COAL,Energy
CUAN,Energy
DEWA,Energy
DOID,Energy
DSSA,Energy
DWGL,Energy
ELSA,Energy
ENRG,Energy
FIRE,Energy
GEMS,Energy
GTBO,Energy
GTSI,Energy
HILL,Energy
HITS,Energy
HRUM,Energy
HUMI,Energy
IATA,Energy
INDY,Energy
INPS,Energy
ITMA,Energy
ITMG,Energy
KKGI,Energy
KOPI,Energy
LEAD,Energy
MAHA,Energy
MBAP,Energy
MBSS,Energy
MCOL,Energy
MEDC,Energy
MKAP,Energy
MTFN,Energy
MYOH,Energy
PGAS,Energy
PKPK,Energy
PSAT,Energy
PSSI,Energy
PTBA,Energy
PTIS,Energy
PTRO,Energy
RAJA,Energy
RATU,Energy
RGAS,Energy
RIGS,Energy
RMKE,Energy
RMKO,Energy
RUIS,Energy
SGER,Energy
SHIP,Energy
SICO,Energy
SMMT,Energy
SMRU,Energy
SOCI,Energy
SUGI,Energy
SUNI,Energy
SURE,Energy
TAMU,Energy
TCPI,Energy
TEBE,Energy
TOBA,Energy
TPMA,Energy
TRAM,Energy
UNIQ,Energy
WINS,Energy
WOWS,Energy
JSKY,Energy
SEMA,Energy
ADMG,Basic Materials
AGII,Basic Materials
AKPI,Basic Materials
ALDO,Basic Materials
ALKA,Basic Materials
ALMI,Basic Materials
AMMN,Basic Materials
ANTM,Basic Materials
APLI,Basic Materials
ARCI,Basic Materials
ASPR,Basic Materials
AVIA,Basic Materials
AYLS,Basic Materials
BAJA,Basic Materials
BATR,Basic Materials
BEBS,Basic Materials
BLES,Basic Materials
BMSR,Basic Materials
BRMS,Basic Materials
BRNA,Basic Materials
BRPT,Basic Materials
BTON,Basic Materials
CHEM,Basic Materials
CITA,Basic Materials
CLPI,Basic Materials
CMNT,Basic Materials
CTBN,Basic Materials
DAAZ,Basic Materials
DGWG,Basic Materials
DKFT,Basic Materials
DPNS,Basic Materials
EKAD,Basic Materials
EMAS,Basic Materials
EPAC,Basic Materials
ESIP,Basic Materials
ESSA,Basic Materials
ETWA,Basic Materials
FASW,Basic Materials
FPNI,Basic Materials
FWCT,Basic Materials
GDST,Basic Materials
GGRP,Basic Materials
HKMU,Basic Materials
IFII,Basic Materials
IFSH,Basic Materials
IGAR,Basic Materials
INAI,Basic Materials
INCF,Basic Materials
INCI,Basic Materials
INCO,Basic Materials
INKP,Basic Materials
INRU,Basic Materials
INTD,Basic Materials
INTP,Basic Materials
IPOL,Basic Materials
ISSP,Basic Materials
KAYU,Basic Materials
KBRI,Basic Materials
KDSI,Basic Materials
KKES,Basic Materials
KMTR,Basic Materials
KRAS,Basic Materials
LMSH,Basic Materials
LTLS,Basic Materials
MBMA,Basic Materials
MDKA,Basic Materials
MDKI,Basic Materials
MINE,Basic Materials
MOLI,Basic Materials
NCKL,Basic Materials
NICE,Basic Materials
NICL,Basic Materials
NIKL,Basic Materials
NPGF,Basic Materials
OBMD,Basic Materials
OKAS,Basic Materials
OPMS,Basic Materials
PACK,Basic Materials
PBID,Basic Materials
PDPP,Basic Materials
PICO,Basic Materials
PPRI,Basic Materials
PSAB,Basic Materials
PTMR,Basic Materials
PURE,Basic Materials
SAMF,Basic Materials
SBMA,Basic Materials
SIMA,Basic Materials
SMBR,Basic Materials
SMCB,Basic Materials
SMGA,Basic Materials
SMGR,Basic Materials
SMKL,Basic Materials
SMLE,Basic Materials
SOLA,Basic Materials
SPMA,Basic Materials
SQMI,Basic Materials
SRSN,Basic Materials
SULI,Basic Materials
SWAT,Basic Materials
TALF,Basic Materials
TBMS,Basic Materials
TDPM,Basic Materials
TINS,Basic Materials
TIRT,Basic Materials
TKIM,Basic Materials
TPIA,Basic Materials
TRST,Basic Materials
UNIC,Basic Materials
WSBP,Basic Materials
WTON,Basic Materials
YPAS,Basic Materials
ZINC,Basic Materials
AMFG,Industrials
AMIN,Industrials
APII,Industrials
ARKA,Industrials
ARNA,Industrials
CAKK,Industrials
CCSI,Industrials
CTTH,Industrials
GPSO,Industrials
HEXA,Industrials
HOPE,Industrials
IBFN,Industrials
IKAI,Industrials
IKBI,Industrials
IMPC,Industrials
INTA,Industrials
JECC,Industrials
KBLI,Industrials
KBLM,Industrials
KIAS,Industrials
KOBX,Industrials
KOIN,Industrials
KUAS,Industrials
LABA,Industrials
MARK,Industrials
MLIA,Industrials
NTBK,Industrials
PIPA,Industrials
PTMP,Industrials
SCCO,Industrials
SINI,Industrials
SKRN,Industrials
SMIL,Industrials
SPTO,Industrials
TOTO,Industrials
UNTR,Industrials
VOKS,Industrials
WIDI,Industrials
ASGR,Industrials
BINO,Industrials
BLUE,Industrials
CRSN,Industrials
DYAN,Industrials
HYGN,Industrials
ICON,Industrials
INDX,Industrials
JTPE,Industrials
KING,Industrials
KONI,Industrials
LION,Industrials
MDRN,Industrials
MFMI,Industrials
MHKI,Industrials
MUTU,Industrials
NAIK,Industrials
PADA,Industrials
SOSS,Industrials
TIRA,Industrials
TRIL,Industrials
VISI,Industrials
ASII,Industrials
BHIT,Industrials
BNBR,Industrials
FOLK,Industrials
ZBRA,Industrials
AMRT,Consumer Non-Cyclicals
BUAH,Consumer Non-Cyclicals
DAYA,Consumer Non-Cyclicals
DMND,Consumer Non-Cyclicals
EPMT,Consumer Non-Cyclicals
HERO,Consumer Non-Cyclicals
KMDS,Consumer Non-Cyclicals
LAPD,Consumer Non-Cyclicals
MIDI,Consumer Non-Cyclicals
MLPL,Consumer Non-Cyclicals
MPPA,Consumer Non-Cyclicals
PCAR,Consumer Non-Cyclicals
RANC,Consumer Non-Cyclicals
SDPC,Consumer Non-Cyclicals
WICO,Consumer Non-Cyclicals
AALI,Consumer Non-Cyclicals
ADES,Consumer Non-Cyclicals
AGAR,Consumer Non-Cyclicals
AISA,Consumer Non-Cyclicals
ALTO,Consumer Non-Cyclicals
AMMS,Consumer Non-Cyclicals
ANDI,Consumer Non-Cyclicals
ANJT,Consumer Non-Cyclicals
ASHA,Consumer Non-Cyclicals
AYAM,Consumer Non-Cyclicals
BEEF,Consumer Non-Cyclicals
BEER,Consumer Non-Cyclicals
BISI,Consumer Non-Cyclicals
BOBA,Consumer Non-Cyclicals
BRRC,Consumer Non-Cyclicals
BTEK,Consumer Non-Cyclicals
BUDI,Consumer Non-Cyclicals
BWPT,Consumer Non-Cyclicals
CAMP,Consumer Non-Cyclicals
CBUT,Consumer Non-Cyclicals
CEKA,Consumer Non-Cyclicals
CLEO,Consumer Non-Cyclicals
CMRY,Consumer Non-Cyclicals
COCO,Consumer Non-Cyclicals
CPIN,Consumer Non-Cyclicals
CPRO,Consumer Non-Cyclicals
CRAB,Consumer Non-Cyclicals
CSRA,Consumer Non-Cyclicals
DEWI,Consumer Non-Cyclicals
DLTA,Consumer Non-Cyclicals
DPUM,Consumer Non-Cyclicals
DSFI,Consumer Non-Cyclicals
DSNG,Consumer Non-Cyclicals
ENZO,Consumer Non-Cyclicals
FAPA,Consumer Non-Cyclicals
FISH,Consumer Non-Cyclicals
FOOD,Consumer Non-Cyclicals
FORE,Consumer Non-Cyclicals
GOLL,Consumer Non-Cyclicals
GOOD,Consumer Non-Cyclicals
GRPM,Consumer Non-Cyclicals
GULA,Consumer Non-Cyclicals
